titles,category
국힘  초  고  학부모에  년    만원 바우처 지급   늘봄학교도 확대 ,Politics
   GTX시대 본격화 A B C선 평택  춘천  아산 동두천 연장 ,Politics
한동훈   민주당  대 범죄  기준에  이재명만 안 걸리는 듯  직격,Politics
 김건희 엄호  인요한  우리가 뽑은 대통령의 영부인을 더 품격있게 대해야 ,Politics
   중기  중처법 유예  호소에도 물러서지 않는 민주당 비정해  종합 ,Politics
     순항미사일 발사  강력 규탄  자유총연맹  응분의 대가 치를 것 ,Politics
홍익표  중처법 유예 법안  정부여당 응답 없어 오늘 통과 어려워 ,Politics
 김경율  피습 돈봉투 주가조작 사건 명확   민주당만 가면 정쟁  뉴스앤이슈 ,Politics
한동훈   대 정치개혁에  그게 포퓰리즘이면 포퓰리스트 되겠다 ,Politics
여야  막판까지 팽팽  중대재해법 유예  좌초 위기,Politics
기아  작년 영업이익   조 넘어 역대 최대,Economic
  일부터  청년도약계좌  연계가입 신청 개시,Economic
인천서 강남까지   분 인천시  GTX D   E 노선 환영 ,Economic
지난해 GDP      성장 수출 회복에  분기      ,Economic
미래에셋운용  TIGER 미국  프리미엄  시리즈 순자산     억원 돌파,Economic
금융위  서천특화시장 피해 지원 금융상담센터 설치,Economic
금융당국  경제유튜버  슈카 와 교육센터 홍보영상 제작,Economic
   억원대 전략물자 반도체 IC칩 중국에 밀수출 적발,Economic
 월 입주 예정 물량  전월 대비  만가구 이상 급감,Economic
LG디스플레이  올해 설비투자  조원 대형 OLED 매출     성장 목표   비즈    ,Economic
GB 불법행위 드론엔 안통해 경기 지난해     건 적발,Social
곡성장미축제  정부  예비 문화관광축제  지정,Social
전청조  사람들 내게 관심 있어 책 써서 피해 보상하고파 ,Social
 이제 우리 댕댕이 잃어버릴 일 없겠네  반려동물 등록에  코주름  쓴다,Social
전북 학폭 신고  배 가까이 늘었다  지난해     건,Social
   세 할아버지    도 한파 속 실종  버스기사  촉 으로 구했다,Social
 급 공무원 지원율 하락 멈췄나   올해 경쟁률         지원자 평균   세,Social
서울 동대문구 대형마트  일요일 대신 수요일에 쉰다,Social
경기도  개인 파산 회생 지원  배 증가    대부분 생계비로 빚 악순환 ,Social
온그룹에셋 임직원 임금체불 부당해고 논란 가열,Social
작곡가 진은숙  클래식계 노벨상 받았다,Culture
한국타이어  모터스포츠 다큐멘터리 티빙 단독 공개,Culture
정부 예산 끊긴 출판협회  도서전 발전기금    억  직접 조성키로,Culture
KG 모빌리티  파트너사와      년 파트너스 데이  개최,Culture
 SNL코리아  제작사  쿠팡 자회사가 제작진 빼돌려  소송,Culture
 영상 구례  화엄사 홍매화  천연기념물 된다,Culture
더 세진 트럼프  바이든과  리벤지 매치 ,World
러시아 국방부  우크라 포로   명 태운 러 수송기 추락  영상 ,World
라이칭더 승리   여일 만에  의회 대표단 대만 도착    지지 재확인 ,World
유럽의  성난 농심    EU 규제 수입 농산물에 폭발,World
미국 WSJ  김건희 리스크  정조준      달러 디올백  한국 여당 뒤흔들어 ,World
바이든  트럼프보다 더 큰 위험 없어   낙태권  이슈로 공세 시작,World
바이든  자동차노조 지지 획득 대선 모드 조기 가동,World
떨어지는 칼날 잡지 말라는데  부양책에 반등하는  증시 e차이나 ,World
   자민당  비자금  아베파 간부에 의원사퇴 탈당 권고 ,World
KT  삼성전자와 갤럭시S   브랜드 팝업스토어 운영,IT
과기부  제 통신사 선정 위한 주파수 경매 돌입,IT
 지난해  분기 스팸 신고      늘어 ,IT
NHN클라우드  울산 지역 공공기관 상대로 클라우드 전략 공유,IT
SK C C  현대홈쇼핑에 클라우드 기반 차세대 시스템 제공,IT
김창한 크래프톤 대표  계단식 성장 위한 전환점 될 것 ,IT
젊은 과학자 지원에  천   억원 삭감 과제 포기 후 재신청 가능,IT
정부  단통법 폐지 위한 이통사 제조사 의견 수렴 절차 진행,IT
